trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
309-Summer,16:40:00,16:40:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
309-Summer,16:48:00,16:48:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
309-Summer,16:55:00,16:55:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
309-Summer,17:03:00,17:03:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
309-Summer,17:14:00,17:14:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
309-Summer,17:21:00,17:21:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
309-Summer,17:29:00,17:29:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
309-Summer,17:35:00,17:35:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
309-Summer,17:47:00,17:47:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
309-Summer,18:06:00,18:06:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
309-Summer,18:15:00,18:15:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
309-Summer,18:23:00,18:23:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
309-Summer,18:36:00,18:36:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
310-Summer,06:26:00,06:26:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
310-Summer,06:37:00,06:37:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
310-Summer,06:44:00,06:44:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
310-Summer,06:50:00,06:50:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
310-Summer,07:02:00,07:02:00,34EA179D31FE4CA5A9A5A42D9CCE8156,5,,,,41845
310-Summer,07:11:00,07:11:00,BD92F07447C74C9DA620D889725EF244,6,,,,53226
310-Summer,07:18:00,07:18:00,7113724B905946399163A4CB5AAB66A1,7,,,,58568
310-Summer,07:25:00,07:25:00,86470B019FB24F4E9102A97F07848105,8,,,,65869
310-Summer,07:33:00,07:33:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
310-Summer,07:45:00,07:45:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
310-Summer,07:54:00,07:54:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
310-Summer,08:02:00,08:02:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
310-Summer,08:10:00,08:10:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
311-Summer,17:20:00,17:20:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
311-Summer,17:28:00,17:28:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
311-Summer,17:35:00,17:35:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
311-Summer,17:43:00,17:43:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
311-Summer,17:54:00,17:54:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
311-Summer,18:01:00,18:01:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
311-Summer,18:09:00,18:09:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
311-Summer,18:15:00,18:15:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
311-Summer,18:27:00,18:27:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
311-Summer,18:46:00,18:46:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
311-Summer,18:55:00,18:55:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
311-Summer,19:03:00,19:03:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
311-Summer,19:16:00,19:16:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
312-Summer,07:06:00,07:06:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
312-Summer,07:17:00,07:17:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
312-Summer,07:24:00,07:24:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
312-Summer,07:30:00,07:30:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
312-Summer,07:42:00,07:42:00,34EA179D31FE4CA5A9A5A42D9CCE8156,5,,,,41845
312-Summer,07:51:00,07:51:00,BD92F07447C74C9DA620D889725EF244,6,,,,53226
312-Summer,07:58:00,07:58:00,7113724B905946399163A4CB5AAB66A1,7,,,,58568
312-Summer,08:05:00,08:05:00,86470B019FB24F4E9102A97F07848105,8,,,,65869
312-Summer,08:13:00,08:13:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
312-Summer,08:25:00,08:25:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
312-Summer,08:34:00,08:34:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
312-Summer,08:42:00,08:42:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
312-Summer,08:50:00,08:50:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
313-Summer,18:10:00,18:10:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
313-Summer,18:18:00,18:18:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
313-Summer,18:25:00,18:25:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
313-Summer,18:33:00,18:33:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
313-Summer,18:44:00,18:44:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
313-Summer,18:51:00,18:51:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
313-Summer,18:59:00,18:59:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
313-Summer,19:05:00,19:05:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
313-Summer,19:15:00,19:15:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
313-Summer,19:29:00,19:29:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
313-Summer,19:38:00,19:38:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
313-Summer,19:46:00,19:46:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
313-Summer,19:57:00,19:57:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
314-Summer,07:46:00,07:46:00,078CADB54DE04AA996C133AEDEE8BB5F,1,,,,0
314-Summer,07:57:00,07:57:00,62E201E23B5148898D8B3B73B9395B4B,2,,,,10040
314-Summer,08:04:00,08:04:00,E67A53B0B9AB4E619C21D7C16C034501,3,,,,16676
