,stop_name,Train 400 (PENN - WASHINGTON),Train 403 (PENN - WASHINGTON),Train 404 (PENN - WASHINGTON),Train 407 (PENN - WASHINGTON),Train 408 (PENN - WASHINGTON),Train 409 (PENN - WASHINGTON),Train 410 (PENN - WASHINGTON),Train 412 (PENN - WASHINGTON),Train 413 (PENN - WASHINGTON),Train 414 (PENN - WASHINGTON),Train 415 (PENN - WASHINGTON),Train 416 (PENN - WASHINGTON),Train 418 (PENN - WASHINGTON),Train 419 (PENN - WASHINGTON),Train 421 (PENN - WASHINGTON),Train 422 (PENN - WASHINGTON),Train 423 (PENN - WASHINGTON),Train 424 (PENN - WASHINGTON),Train 426 (PENN - WASHINGTON),Train 427 (PENN - WASHINGTON),Train 428 (PENN - WASHINGTON),Train 429 (PENN - WASHINGTON),Train 430 (PENN - WASHINGTON),Train 431 (PENN - WASHINGTON),Train 433 (PENN - WASHINGTON),Train 435 (PENN - WASHINGTON),Train 438 (PENN - WASHINGTON),Train 439 (PENN - WASHINGTON),Train 440 (PENN - WASHINGTON),Train 443 (PENN - WASHINGTON),Train 445 (PENN - WASHINGTON),Train 446 (PENN - WASHINGTON),Train 447 (PENN - WASHINGTON),Train 448 (PENN - WASHINGTON),Train 449 (PENN - WASHINGTON),Train 451 (PENN - WASHINGTON),Train 452 (PENN - WASHINGTON),Train 453 (PENN - WASHINGTON),Train 502 (PENN - WASHINGTON),Train 505 (PENN - WASHINGTON),Train 511 (PENN - WASHINGTON),Train 517 (PENN - WASHINGTON),Train 520 (PENN - WASHINGTON),Train 525 (PENN - WASHINGTON),Train 532 (PENN - WASHINGTON),Train 536 (PENN - WASHINGTON),Train 537 (PENN - WASHINGTON),Train 544 (PENN - WASHINGTON),Train 548 (PENN - WASHINGTON),Train 554 (PENN - WASHINGTON),Train 579 (PENN - WASHINGTON),Train 610 (PENN - WASHINGTON),Train 612 (PENN - WASHINGTON),Train 613 (PENN - WASHINGTON),Train 634 (PENN - WASHINGTON),Train 641 (PENN - WASHINGTON),Train 642 (PENN - WASHINGTON),Train 840 (CAMDEN - WASHINGTON),Train 841 (CAMDEN - WASHINGTON),Train 842 (CAMDEN - WASHINGTON),Train 843 (CAMDEN - WASHINGTON),Train 844 (CAMDEN - WASHINGTON),Train 845 (CAMDEN - WASHINGTON),Train 846 (CAMDEN - WASHINGTON),Train 847 (CAMDEN - WASHINGTON),Train 848 (CAMDEN - WASHINGTON),Train 849 (CAMDEN - WASHINGTON),Train 850 (CAMDEN - WASHINGTON),Train 851 (CAMDEN - WASHINGTON),Train 852 (CAMDEN - WASHINGTON),Train 853 (CAMDEN - WASHINGTON),Train 854 (CAMDEN - WASHINGTON),Train 855 (CAMDEN - WASHINGTON),Train 856 (CAMDEN - WASHINGTON),Train 857 (CAMDEN - WASHINGTON),Train 858 (CAMDEN - WASHINGTON),Train 859 (CAMDEN - WASHINGTON),Train 860 (CAMDEN - WASHINGTON),Train 870 (BRUNSWICK - WASHINGTON),Train 871 (BRUNSWICK - WASHINGTON),Train 872 (BRUNSWICK - WASHINGTON),Train 873 (BRUNSWICK - WASHINGTON),Train 874 (BRUNSWICK - WASHINGTON),Train 875 (BRUNSWICK - WASHINGTON),Train 876 (BRUNSWICK - WASHINGTON),Train 877 (BRUNSWICK - WASHINGTON),Train 878 (BRUNSWICK - WASHINGTON),Train 879 (BRUNSWICK - WASHINGTON),Train 880 (BRUNSWICK - WASHINGTON),Train 881 (BRUNSWICK - WASHINGTON),Train 883 (BRUNSWICK - WASHINGTON),Train 890 (BRUNSWICK - WASHINGTON),Train 891 (BRUNSWICK - WASHINGTON),Train 892 (BRUNSWICK - WASHINGTON),Train 893 (BRUNSWICK - WASHINGTON),Train 894 (BRUNSWICK - WASHINGTON),Train 895 (BRUNSWICK - WASHINGTON)
39,MARTIN AIRPORT MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:55:00 (3),05:48:00 (3),07:00:00 (3),,09:15:00 (3),,,15:02:00 (3),,,,18:55:00 (3),,,05:30:00 (0),,15:35:00 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PENN STATION MARC sb,,05:00:00 (0),,05:45:00 (0),,06:30:00 (0),,,06:45:00 (0),,07:00:00 (0),,,07:53:00 (0),08:15:00 (0),,08:55:00 (0),,,10:25:00 (0),,11:35:00 (0),,12:35:00 (0),13:35:00 (0),14:45:00 (0),,15:45:00 (0),,16:52:00 (0),17:30:00 (0),,18:10:00 (0),,18:40:00 (0),19:35:00 (0),,21:35:00 (0),,05:15:00 (4),06:08:00 (4),07:20:00 (4),,09:30:00 (4),,,15:28:00 (4),,,,19:08:00 (4),,,05:46:00 (1),,16:08:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,WEST BALTIMORE MARC sb,,05:09:00 (1),,05:53:00 (1),,,,,06:53:00 (1),,07:08:00 (1),,,08:01:00 (1),08:23:00 (1),,09:03:00 (1),,,10:32:00 (1),,11:42:00 (1),,12:42:00 (1),13:42:00 (1),14:52:00 (1),,15:52:00 (1),,,17:36:00 (1),,,,,,,21:42:00 (1),,05:23:00 (5),06:18:00 (5),07:28:00 (5),,09:37:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HALETHORPE MARC sb,,05:16:00 (2),,05:59:00 (2),,06:41:00 (1),,,07:00:00 (2),,07:15:00 (2),,,08:08:00 (2),08:30:00 (2),,09:10:00 (2),,,10:38:00 (2),,11:48:00 (2),,12:48:00 (2),13:48:00 (2),14:58:00 (2),,15:58:00 (2),,,17:41:00 (2),,,,,,,21:48:00 (2),,05:30:00 (6),,07:35:00 (6),,09:43:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BWI RAIL STATION MARC sb,,05:23:00 (3),,06:05:00 (3),,06:48:00 (2),,,07:07:00 (3),,07:22:00 (3),,,08:15:00 (3),08:37:00 (3),,09:17:00 (3),,,10:45:00 (3),,11:55:00 (3),,12:55:00 (3),13:55:00 (3),15:05:00 (3),,16:05:00 (3),,17:06:00 (1),17:46:00 (3),,18:24:00 (1),,18:54:00 (1),19:49:00 (1),,21:55:00 (3),,05:37:00 (7),06:29:00 (6),07:42:00 (7),,09:50:00 (7),,,15:42:00 (5),,,,,,,,,16:23:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ODENTON MARC sb,,05:29:00 (4),,06:12:00 (4),,06:55:00 (3),,,07:14:00 (4),,07:29:00 (4),,,08:22:00 (4),08:44:00 (4),,09:24:00 (4),,,10:52:00 (4),,12:02:00 (4),,13:02:00 (4),14:02:00 (4),15:12:00 (4),,16:12:00 (4),,17:13:00 (2),17:53:00 (4),,,,19:01:00 (2),19:56:00 (2),,22:02:00 (4),,05:44:00 (8),06:36:00 (7),07:49:00 (8),,09:57:00 (8),,,,,,,,,,,,16:30:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BOWIE STATE MARC sb,,05:36:00 (5),,06:19:00 (5),,07:02:00 (4),,,07:21:00 (5),,07:36:00 (5),,,08:29:00 (5),08:51:00 (5),,09:31:00 (5),,,10:58:00 (5),,12:08:00 (5),,13:08:00 (5),14:08:00 (5),15:18:00 (5),,16:18:00 (5),,17:19:00 (3),18:00:00 (5),,,,19:07:00 (3),20:02:00 (3),,22:08:00 (5),,05:51:00 (9),,,,10:03:00 (9),,,,,,,,,,,,16:36:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SEABROOK MARC sb,,05:42:00 (6),,06:25:00 (6),,07:08:00 (5),,,07:27:00 (6),,07:42:00 (6),,,08:35:00 (6),08:57:00 (6),,09:37:00 (6),,,11:04:00 (6),,12:14:00 (6),,13:14:00 (6),,,,16:24:00 (6),,17:25:00 (4),18:06:00 (6),,,,,,,22:14:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NEW CARROLLTON MARC sb,,05:48:00 (7),,06:31:00 (7),,07:14:00 (6),,,07:33:00 (7),,07:48:00 (7),,,08:41:00 (7),09:03:00 (7),,09:41:00 (7),,,11:08:00 (7),,12:18:00 (7),,13:18:00 (7),14:16:00 (6),15:26:00 (6),,16:28:00 (7),,17:29:00 (5),18:10:00 (7),,18:43:00 (2),,19:19:00 (4),20:10:00 (4),,22:18:00 (7),,06:01:00 (10),06:47:00 (8),08:00:00 (9),,10:11:00 (10),,,16:02:00 (6),,,,,,,,,16:44:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NEW CARROLLTON MARC nb,05:52:00 (1),,06:47:00 (1),,,,07:32:00 (1),09:12:00 (1),,09:57:00 (1),,10:27:00 (1),11:27:00 (1),,,13:32:00 (1),,14:32:00 (1),15:22:00 (1),,16:42:00 (1),,16:32:00 (1),,,,17:32:00 (1),,17:47:00 (1),,,19:17:00 (1),,20:16:00 (1),,,23:07:00 (1),,06:32:00 (2),,,,12:27:00 (1),,16:22:00 (1),,,18:32:00 (1),21:22:00 (1),,,,08:32:00 (1),,,,18:12:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
