,stop_name,1500.0 (Seattle - Tacoma/Lakewood),1501.0 (Seattle - Tacoma/Lakewood),1502.0 (Seattle - Tacoma/Lakewood),1503.0 (Seattle - Tacoma/Lakewood),1504.0 (Seattle - Tacoma/Lakewood),1505.0 (Seattle - Tacoma/Lakewood),1506.0 (Seattle - Tacoma/Lakewood),1507.0 (Seattle - Tacoma/Lakewood),1508.0 (Seattle - Tacoma/Lakewood),1509.0 (Seattle - Tacoma/Lakewood),1510.0 (Seattle - Tacoma/Lakewood),1511.0 (Seattle - Tacoma/Lakewood),1512.0 (Seattle - Tacoma/Lakewood),1513.0 (Seattle - Tacoma/Lakewood),1514.0 (Seattle - Tacoma/Lakewood),1515.0 (Seattle - Tacoma/Lakewood),1516.0 (Seattle - Tacoma/Lakewood),1517.0 (Seattle - Tacoma/Lakewood),1518.0 (Seattle - Tacoma/Lakewood),1519.0 (Seattle - Tacoma/Lakewood),1520.0 (Seattle - Tacoma/Lakewood),1521.0 (Seattle - Tacoma/Lakewood),1522.0 (Seattle - Tacoma/Lakewood),1523.0 (Seattle - Tacoma/Lakewood),1524.0 (Seattle - Tacoma/Lakewood),1525.0 (Seattle - Tacoma/Lakewood),1700.0 (Everett - Seattle),1701.0 (Everett - Seattle),1702.0 (Everett - Seattle),1703.0 (Everett - Seattle),1704.0 (Everett - Seattle),1705.0 (Everett - Seattle),1706.0 (Everett - Seattle),1707.0 (Everett - Seattle),nan (Lynnwood - Angle Lake),nan (South Bellevue - Redmond Tech),nan (Tacoma Dome - St Joseph)
150,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
151,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
152,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
153,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
154,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
155,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
156,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
157,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
158,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
159,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
160,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
161,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
162,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
163,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
164,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
165,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
166,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
167,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
168,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
169,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
170,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
171,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
172,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
173,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
174,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
175,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
176,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
