,stop_name,6313 (Barrie),6314 (Barrie),6315 (Barrie),6316 (Barrie),6317 (Barrie),6318 (Barrie),6322 (Barrie),6329 (Barrie),6331 (Barrie),6332 (Barrie),6333 (Barrie),6334 (Barrie),6504 (Barrie),6521 (Barrie),6606 (Barrie),6608 (Barrie),6627 (Barrie),6727 (Barrie),6806 (Barrie),6808 (Barrie),6825 (Barrie),6908 (Barrie),6910 (Barrie),6911 (Barrie),6912 (Barrie),6919 (Barrie),6920 (Barrie),6923 (Barrie),6927 (Barrie),6935 (Barrie),6936 (Barrie),6937 (Barrie),3009 (Kitchener),3011 (Kitchener),3015 (Kitchener),3017 (Kitchener),3019 (Kitchener),3021 (Kitchener),3023 (Kitchener),3025 (Kitchener),3031 (Kitchener),3033 (Kitchener),3035 (Kitchener),3037 (Kitchener),3108 (Kitchener),3110 (Kitchener),3126 (Kitchener),3128 (Kitchener),3205 (Kitchener),3207 (Kitchener),3209 (Kitchener),3227 (Kitchener),3308 (Kitchener),3310 (Kitchener),3312 (Kitchener),3316 (Kitchener),3318 (Kitchener),3320 (Kitchener),3322 (Kitchener),3328 (Kitchener),3332 (Kitchener),3334 (Kitchener),3336 (Kitchener),3338 (Kitchener),3414 (Kitchener),3416 (Kitchener),3420 (Kitchener),3422 (Kitchener),3432 (Kitchener),3434 (Kitchener),3513 (Kitchener),3515 (Kitchener),3519 (Kitchener),3521 (Kitchener),3529 (Kitchener),3531 (Kitchener),3533 (Kitchener),3539 (Kitchener),3604 (Kitchener),3606 (Kitchener),3625 (Kitchener),3627 (Kitchener),3812 (Kitchener),3818 (Kitchener),3824 (Kitchener),3829 (Kitchener),3836 (Kitchener),3858 (Kitchener),3860 (Kitchener),3875 (Kitchener),3877 (Kitchener),3904 (Kitchener),3906 (Kitchener),3911 (Kitchener),3917 (Kitchener),3923 (Kitchener),3935 (Kitchener),3937 (Kitchener),3958 (Kitchener),3960 (Kitchener),3975 (Kitchener),3977 (Kitchener),9004 (Lakeshore East),9005 (Lakeshore East),9006 (Lakeshore East),9007 (Lakeshore East),9008 (Lakeshore East),9009 (Lakeshore East),9010 (Lakeshore East),9011 (Lakeshore East),9013 (Lakeshore East),9015 (Lakeshore East),9017 (Lakeshore East),9019 (Lakeshore East),9021 (Lakeshore East),9023 (Lakeshore East),9024 (Lakeshore East),9025 (Lakeshore East),9026 (Lakeshore East),9027 (Lakeshore East),9029 (Lakeshore East),9031 (Lakeshore East),9032 (Lakeshore East),9033 (Lakeshore East),9035 (Lakeshore East),9037 (Lakeshore East),9039 (Lakeshore East),9041 (Lakeshore East),9109 (Lakeshore East),9112 (Lakeshore East),9114 (Lakeshore East),9116 (Lakeshore East),9118 (Lakeshore East),9120 (Lakeshore East),9122 (Lakeshore East),9124 (Lakeshore East),9126 (Lakeshore East),9128 (Lakeshore East),9130 (Lakeshore East),9134 (Lakeshore East),9136 (Lakeshore East),9138 (Lakeshore East),9140 (Lakeshore East),9204 (Lakeshore East),9205 (Lakeshore East),9206 (Lakeshore East),9207 (Lakeshore East),9208 (Lakeshore East),9209 (Lakeshore East),9211 (Lakeshore East),9213 (Lakeshore East),9215 (Lakeshore East),9217 (Lakeshore East),9219 (Lakeshore East),9221 (Lakeshore East),9223 (Lakeshore East),9224 (Lakeshore East),9225 (Lakeshore East),9226 (Lakeshore East),9227 (Lakeshore East),9229 (Lakeshore East),9231 (Lakeshore East),9233 (Lakeshore East),9235 (Lakeshore East),9237 (Lakeshore East),9239 (Lakeshore East),9241 (Lakeshore East),9307 (Lakeshore East),9309 (Lakeshore East),9310 (Lakeshore East),9312 (Lakeshore East),9314 (Lakeshore East),9316 (Lakeshore East),9318 (Lakeshore East),9320 (Lakeshore East),9322 (Lakeshore East),9324 (Lakeshore East),9326 (Lakeshore East),9328 (Lakeshore East),9330 (Lakeshore East),9332 (Lakeshore East),9334 (Lakeshore East),9336 (Lakeshore East),9338 (Lakeshore East),9340 (Lakeshore East),1004 (Lakeshore West),1005 (Lakeshore West),1006 (Lakeshore West),1007 (Lakeshore West),1009 (Lakeshore West),1011 (Lakeshore West),1012 (Lakeshore West),1013 (Lakeshore West),1014 (Lakeshore West),1015 (Lakeshore West),1016 (Lakeshore West),1017 (Lakeshore West),1018 (Lakeshore West),1019 (Lakeshore West),1020 (Lakeshore West),1021 (Lakeshore West),1022 (Lakeshore West),1023 (Lakeshore West),1024 (Lakeshore West),1026 (Lakeshore West),1028 (Lakeshore West),1029 (Lakeshore West),1030 (Lakeshore West),1031 (Lakeshore West),1032 (Lakeshore West),1033 (Lakeshore West),1034 (Lakeshore West),1035 (Lakeshore West),1036 (Lakeshore West),1037 (Lakeshore West),1038 (Lakeshore West),1039 (Lakeshore West),1040 (Lakeshore West),1041 (Lakeshore West),1075 (Lakeshore West),1077 (Lakeshore West),1108 (Lakeshore West),1110 (Lakeshore West),1125 (Lakeshore West),1127 (Lakeshore West),1256 (Lakeshore West),1258 (Lakeshore West),1306 (Lakeshore West),1308 (Lakeshore West),1310 (Lakeshore West),1323 (Lakeshore West),1325 (Lakeshore West),1327 (Lakeshore West),1704 (Lakeshore West),1705 (Lakeshore West),1707 (Lakeshore West),1709 (Lakeshore West),1710 (Lakeshore West),1711 (Lakeshore West),1712 (Lakeshore West),1713 (Lakeshore West),1714 (Lakeshore West),1715 (Lakeshore West),1716 (Lakeshore West),1717 (Lakeshore West),1718 (Lakeshore West),1719 (Lakeshore West),1720 (Lakeshore West),1721 (Lakeshore West),1722 (Lakeshore West),1724 (Lakeshore West),1726 (Lakeshore West),1727 (Lakeshore West),1728 (Lakeshore West),1729 (Lakeshore West),1730 (Lakeshore West),1731 (Lakeshore West),1732 (Lakeshore West),1733 (Lakeshore West),1734 (Lakeshore West),1735 (Lakeshore West),1736 (Lakeshore West),1737 (Lakeshore West),1738 (Lakeshore West),1739 (Lakeshore West),1740 (Lakeshore West),1741 (Lakeshore West),1756 (Lakeshore West),1758 (Lakeshore West),1775 (Lakeshore West),1777 (Lakeshore West),1854 (Lakeshore West),1856 (Lakeshore West),1858 (Lakeshore West),1860 (Lakeshore West),1873 (Lakeshore West),1875 (Lakeshore West),1877 (Lakeshore West),1879 (Lakeshore West),1960 (Lakeshore West),1961 (Lakeshore West),1972 (Lakeshore West),1977 (Lakeshore West),1988 (Lakeshore West),X1987 (Lakeshore West),2706 (Milton),2710 (Milton),2712 (Milton),2714 (Milton),2716 (Milton),2718 (Milton),2720 (Milton),2722 (Milton),2723 (Milton),2724 (Milton),2726 (Milton),2727 (Milton),2729 (Milton),2731 (Milton),2735 (Milton),2737 (Milton),2739 (Milton),2741 (Milton),2745 (Milton),2749 (Milton),5006 (Richmond Hill),5008 (Richmond Hill),5010 (Richmond Hill),5127 (Richmond Hill),5208 (Richmond Hill),5323 (Richmond Hill),5325 (Richmond Hill),5327 (Richmond Hill),5329 (Richmond Hill),7410 (Stouffville),7412 (Stouffville),7414 (Stouffville),7415 (Stouffville),7416 (Stouffville),7417 (Stouffville),7418 (Stouffville),7419 (Stouffville),7420 (Stouffville),7421 (Stouffville),7423 (Stouffville),7425 (Stouffville),7428 (Stouffville),7430 (Stouffville),7432 (Stouffville),7433 (Stouffville),7434 (Stouffville),7435 (Stouffville),7436 (Stouffville),7437 (Stouffville),7439 (Stouffville),7622 (Stouffville),7624 (Stouffville),7626 (Stouffville),7638 (Stouffville),7640 (Stouffville),7705 (Stouffville),7707 (Stouffville),7709 (Stouffville),7711 (Stouffville),7713 (Stouffville),7824 (Stouffville),7826 (Stouffville),7907 (Stouffville),7909 (Stouffville)
24,Milliken GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:46:00 (16),10:46:00 (16),11:46:00 (16),10:54:00 (9),12:46:00 (16),11:54:00 (9),13:46:00 (16),12:54:00 (9),14:46:00 (16),13:54:00 (9),14:54:00 (9),15:54:00 (9),18:46:00 (16),19:46:00 (16),20:46:00 (16),19:54:00 (9),21:46:00 (16),20:54:00 (9),22:46:00 (16),21:54:00 (9),22:54:00 (9),15:46:00 (16),16:46:00 (16),17:46:00 (16),23:46:00 (16),24:46:00 (16),05:54:00 (12),06:54:00 (12),07:54:00 (12),08:54:00 (12),09:54:00 (12),17:16:00 (16),18:16:00 (16),07:24:00 (12),08:24:00 (12)
25,Mount Joy GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:07:00 (24),11:07:00 (24),12:07:00 (24),10:34:00 (1),13:07:00 (24),11:34:00 (1),14:07:00 (24),12:34:00 (1),15:07:00 (24),13:34:00 (1),14:34:00 (1),15:34:00 (1),19:07:00 (24),20:07:00 (24),21:07:00 (24),19:34:00 (1),22:07:00 (24),20:34:00 (1),23:07:00 (24),21:34:00 (1),22:34:00 (1),16:07:00 (24),17:07:00 (24),18:07:00 (24),24:07:00 (24),25:07:00 (24),05:33:00 (4),06:33:00 (4),07:33:00 (4),08:33:00 (4),09:34:00 (4),17:37:00 (24),18:37:00 (24),07:03:00 (4),08:03:00 (4)
26,Mimico GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44:00 (24),06:26:00 (11),06:44:00 (24),07:31:00 (11),08:31:00 (11),09:32:00 (11),09:59:00 (24),10:32:00 (11),10:59:00 (24),11:32:00 (11),11:59:00 (24),12:32:00 (11),12:59:00 (24),13:32:00 (11),13:59:00 (24),14:32:00 (11),14:59:00 (24),15:32:00 (11),15:59:00 (24),16:59:00 (24),17:59:00 (24),18:33:00 (11),18:58:00 (24),19:33:00 (11),19:58:00 (24),20:33:00 (11),20:58:00 (24),21:33:00 (11),21:58:00 (24),22:33:00 (11),22:58:00 (24),23:33:00 (11),23:58:00 (24),24:33:00 (11),,,07:48:00 (12),08:48:00 (12),16:20:00 (11),17:20:00 (11),,,07:18:00 (12),08:18:00 (12),09:04:00 (12),15:50:00 (11),16:50:00 (11),17:50:00 (11),06:14:00 (31),06:56:00 (11),08:01:00 (11),09:02:00 (11),09:29:00 (31),10:02:00 (11),10:29:00 (31),11:02:00 (11),11:29:00 (31),12:02:00 (11),12:29:00 (31),13:02:00 (11),13:29:00 (31),14:02:00 (11),14:29:00 (31),15:02:00 (11),15:29:00 (31),16:29:00 (31),17:28:00 (31),18:03:00 (11),18:28:00 (31),19:03:00 (11),19:28:00 (31),20:03:00 (11),20:28:00 (31),21:03:00 (11),21:28:00 (31),22:03:00 (11),22:28:00 (31),23:03:00 (11),23:28:00 (31),24:03:00 (11),24:29:00 (31),25:04:00 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Meadowvale GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13:00 (8),06:43:00 (8),06:58:00 (8),07:13:00 (8),07:28:00 (8),07:43:00 (8),07:58:00 (8),08:13:00 (8),16:26:00 (28),08:28:00 (8),08:43:00 (8),16:56:00 (28),17:11:00 (28),17:26:00 (28),17:41:00 (28),17:56:00 (28),18:11:00 (28),18:41:00 (28),19:11:00 (28),19:56:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Malton GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:32:00 (15),09:32:00 (15),11:32:00 (15),12:32:00 (15),13:32:00 (15),14:32:00 (15),15:32:00 (15),16:32:00 (15),19:32:00 (15),20:32:00 (15),21:32:00 (15),22:32:00 (15),08:00:00 (4),09:00:00 (4),16:35:00 (4),17:35:00 (4),07:02:00 (15),08:02:00 (15),09:02:00 (15),18:02:00 (15),08:30:00 (4),09:30:00 (4),10:30:00 (4),12:30:00 (4),13:30:00 (4),14:30:00 (4),15:30:00 (4),18:32:00 (4),20:30:00 (4),21:30:00 (4),22:30:00 (4),23:30:00 (4),11:00:00 (10),12:02:00 (10),14:02:00 (10),15:02:00 (10),20:02:00 (10),21:02:00 (10),11:01:00 (15),12:02:00 (15),14:02:00 (15),15:02:00 (15),19:02:00 (15),20:02:00 (15),21:02:00 (15),24:02:00 (15),06:00:00 (15),07:00:00 (15),17:02:00 (15),17:32:00 (15),09:59:00 (27),13:02:00 (27),16:02:00 (27),18:32:00 (15),22:02:00 (27),,,,,06:30:00 (27),07:30:00 (27),10:01:00 (15),13:02:00 (15),16:02:00 (15),22:02:00 (15),23:02:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lisgar GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:08:00 (6),06:38:00 (6),06:53:00 (6),07:08:00 (6),07:23:00 (6),07:38:00 (6),07:53:00 (6),08:08:00 (6),16:31:00 (30),08:23:00 (6),08:38:00 (6),17:01:00 (30),17:16:00 (30),17:31:00 (30),17:46:00 (30),18:01:00 (30),18:16:00 (30),18:46:00 (30),19:16:00 (30),20:01:00 (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Long Branch GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:37:00 (22),06:32:00 (13),06:37:00 (22),07:37:00 (13),08:37:00 (13),09:38:00 (13),09:51:00 (22),10:38:00 (13),10:51:00 (22),11:38:00 (13),11:51:00 (22),12:38:00 (13),12:51:00 (22),13:38:00 (13),13:51:00 (22),14:38:00 (13),14:51:00 (22),15:38:00 (13),15:51:00 (22),16:52:00 (22),17:52:00 (22),18:39:00 (13),18:50:00 (22),19:39:00 (13),19:50:00 (22),20:39:00 (13),20:50:00 (22),21:39:00 (13),21:50:00 (22),22:39:00 (13),22:50:00 (22),23:39:00 (13),23:50:00 (22),24:39:00 (13),,,07:41:00 (10),08:41:00 (10),16:26:00 (13),17:26:00 (13),,,07:11:00 (10),08:11:00 (10),08:57:00 (10),15:56:00 (13),16:56:00 (13),17:56:00 (13),06:07:00 (29),07:02:00 (13),08:07:00 (13),09:08:00 (13),09:21:00 (29),10:08:00 (13),10:21:00 (29),11:08:00 (13),11:21:00 (29),12:08:00 (13),12:21:00 (29),13:08:00 (13),13:21:00 (29),14:08:00 (13),14:21:00 (29),15:08:00 (13),15:21:00 (29),16:22:00 (29),17:21:00 (29),18:09:00 (13),18:21:00 (29),19:09:00 (13),19:20:00 (29),20:09:00 (13),20:20:00 (29),21:09:00 (13),21:20:00 (29),22:09:00 (13),22:20:00 (29),23:09:00 (13),23:20:00 (29),24:09:00 (13),24:21:00 (29),25:10:00 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Old Elm GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:24:00 (27),17:24:00 (27),18:24:00 (27),24:24:00 (27),25:24:00 (27),05:18:00 (1),06:18:00 (1),07:18:00 (1),08:18:00 (1),09:19:00 (1),17:54:00 (27),18:54:00 (27),06:48:00 (1),07:48:00 (1)
32,Langstaff GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17:00 (9),07:17:00 (9),08:17:00 (9),17:58:00 (21),07:47:00 (9),16:28:00 (21),17:28:00 (21),18:28:00 (21),19:28:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kipling GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:42:00 (19),07:12:00 (19),07:27:00 (19),07:42:00 (19),07:57:00 (19),08:12:00 (19),08:27:00 (19),08:42:00 (19),15:58:00 (17),08:57:00 (19),09:12:00 (19),16:28:00 (17),16:43:00 (17),16:58:00 (17),17:13:00 (17),17:28:00 (17),17:43:00 (17),18:13:00 (17),18:43:00 (17),19:28:00 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kitchener GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42:00 (1),11:45:00 (1),14:45:00 (1),19:52:00 (41),20:45:00 (1),06:36:00 (1),07:36:00 (1),18:00:00 (41),19:00:00 (41),05:12:00 (1),06:12:00 (1),11:21:00 (41),14:22:00 (41),17:23:00 (41),23:22:00 (41),,07:06:00 (1),08:06:00 (1),18:30:00 (41),19:34:00 (41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Kennedy GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31:00 (13),10:31:00 (13),11:31:00 (13),11:09:00 (12),12:31:00 (13),12:09:00 (12),13:31:00 (13),13:09:00 (12),14:31:00 (13),14:09:00 (12),15:09:00 (12),16:09:00 (12),18:31:00 (13),19:31:00 (13),20:31:00 (13),20:09:00 (12),21:31:00 (13),21:09:00 (12),22:31:00 (13),22:09:00 (12),23:09:00 (12),15:31:00 (13),16:31:00 (13),17:31:00 (13),23:31:00 (13),24:31:00 (13),06:09:00 (15),07:09:00 (15),08:09:00 (15),09:09:00 (15),10:09:00 (15),17:01:00 (13),18:01:00 (13),07:39:00 (15),08:39:00 (15)
36,King City GO,11:35:00 (20),11:07:00 (3),12:34:00 (20),12:05:00 (3),13:34:00 (20),13:05:00 (3),15:14:00 (3),19:34:00 (20),20:34:00 (20),20:05:00 (3),21:34:00 (20),21:05:00 (3),05:51:00 (9),15:44:00 (20),06:20:00 (16),07:20:00 (16),17:51:00 (20),18:06:00 (20),06:50:00 (16),07:50:00 (16),17:21:00 (20),08:05:00 (16),09:05:00 (16),10:34:00 (20),10:04:00 (16),14:41:00 (20),14:11:00 (16),16:36:00 (20),18:36:00 (20),22:42:00 (20),22:12:00 (16),23:36:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Hamilton GO Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:48:00 (1),06:18:00 (1),06:48:00 (1),07:18:00 (1),17:06:00 (43),17:36:00 (43),18:06:00 (43),19:06:00 (43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Guildwood GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:33:00 (14),05:38:00 (15),07:33:00 (14),06:43:00 (15),08:37:00 (14),07:43:00 (15),09:33:00 (14),08:43:00 (15),09:43:00 (15),10:43:00 (15),11:43:00 (15),12:43:00 (15),13:43:00 (15),14:43:00 (15),16:33:00 (14),15:43:00 (15),17:33:00 (14),16:43:00 (15),17:43:00 (15),18:43:00 (15),20:48:00 (14),19:43:00 (15),20:43:00 (15),21:43:00 (15),22:43:00 (15),23:43:00 (15),07:58:00 (15),10:48:00 (14),11:48:00 (14),12:48:00 (14),13:48:00 (14),14:48:00 (14),15:48:00 (14),16:48:00 (14),17:48:00 (14),18:48:00 (14),19:48:00 (14),21:48:00 (14),22:48:00 (14),23:48:00 (14),24:48:00 (14),07:03:00 (14),06:08:00 (15),08:07:00 (14),07:13:00 (15),09:07:00 (14),08:13:00 (15),09:13:00 (15),10:13:00 (15),11:13:00 (15),12:13:00 (15),13:13:00 (15),14:13:00 (15),15:13:00 (15),17:03:00 (14),16:13:00 (15),18:03:00 (14),17:13:00 (15),18:13:00 (15),19:13:00 (15),20:13:00 (15),21:13:00 (15),22:13:00 (15),23:13:00 (15),24:12:00 (15),07:28:00 (15),08:28:00 (15),10:18:00 (14),11:18:00 (14),12:18:00 (14),13:18:00 (14),14:18:00 (14),15:18:00 (14),16:18:00 (14),17:18:00 (14),18:18:00 (14),19:18:00 (14),20:18:00 (14),21:18:00 (14),22:18:00 (14),23:18:00 (14),24:18:00 (14),25:21:00 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
