stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding,station_id_additional
ROS2C,Gare Rosemère,,45.634505,-73.79574,5.0,11390,0,"""['ROS2A']"""
STR4D,Gare Sainte-Thérèse,,45.636039,-73.83355,5.0,11400,0,"""['STR4B']"""
BLA1C,Gare Blainville,,45.672427,-73.866162,5.0,11410,0,"""['BLA1A']"""
MIR1C,Gare Mirabel,,45.711707,-73.918555,6.0,11420,0,"""['MIR1A']"""
SJM1C,Gare Saint-Jérôme,,45.773188,-73.999119,5.0,11430,0,"""['SJM1A']"""
STL1B,Gare Saint-Lambert,,45.499634,-73.505824,3.0,11440,0,"""['STL1D']"""
STH3B,Gare Longueuil-Saint-Hubert,,45.508145,-73.433824,3.0,11450,0,"""['STH3D']"""
STB2B,Gare Saint-Bruno,,45.512028,-73.374408,5.0,11460,0,"""['STB2D']"""
SBA2B,Gare Saint-Basile-le-Grand,,45.523306,-73.305923,5.0,11470,0,"""['SBA2D']"""
MMS1B,Gare McMasterville,,45.546052,-73.229775,5.0,11480,0,"""['MMS1D']"""
MSH1C,Gare Mont-Saint-Hilaire,,45.577198,-73.178501,6.0,11490,0,"""['MSH1A']"""
LCH4A,Gare Du Canal,,45.437645,-73.655887,1.0,11495,0,"""['LCH4C']"""
LSL1A,Gare LaSalle,,45.425218,-73.656978,1.0,11500,0,"""['LSL1C']"""
SCS2A,Gare Sainte-Catherine,,45.382043,-73.600099,5.0,11510,0,"""['SCS2C']"""
SCS1A,Gare Saint-Constant,,45.373948,-73.570299,5.0,11520,0,"""['SCS1C']"""
DEL1A,Gare Delson,,45.366844,-73.540801,5.0,11530,0,"""['DEL1C']"""
CAN1A,Gare Candiac,,45.360923,-73.514848,5.0,11540,0,"""['CAN1C']"""
MTL59C,Gare Ahuntsic,,45.535026,-73.662662,1.0,11550,1,"""['MTL59A']"""
MTL58C,Gare Sauvé,,45.549408,-73.654339,1.0,11560,1,"""['MTL58A']"""
MTL57C,Gare Saint-Michel-Montréal-Nord,,45.582993,-73.630262,2.0,11570,1,"""['MTL57A']"""
MTL56C,Gare Saint-Léonard-Montréal-Nord,,45.600339,-73.615779,2.0,11580,1,"""['MTL56A']"""
MTL55C,Gare Anjou,,45.617867,-73.596659,2.0,11590,1,"""['MTL55A']"""
MTL54C,Gare Rivière-des-Prairies,,45.660661,-73.539166,2.0,11600,1,"""['MTL54A']"""
MTL53C,Gare Pointe-aux-Trembles,,45.674876,-73.505342,2.0,11610,1,"""['MTL53A']"""
LEG1C,Gare Repentigny,,45.734587,-73.486111,5.0,11630,1,"""['LEG1A']"""
LCN1C,Gare Terrebonne,,45.728495,-73.521187,5.0,11640,1,"""['LCN1A']"""
MAS1C,Gare Mascouche,,45.729587,-73.598495,5.0,11650,1,"""['MAS1A']"""
_BALLAN,Ballantyne,,45.447867,-73.68077,,99916,0,"""['_BALLANT']"""
_Josy,Josy Receving,,45.487885,-73.676139,,FA0003,0,[]
_PAT_Sud,Début Sud de la voie d'évitement Pointes-aux-Trembles,,45.677631,-73.495249,,FA0004,0,[]
_PAT_Nord,Fin Nord voie de contournement Pointe-aux-Trembles,,45.694456,-73.48869,,FA0005,0,[]
_Hibernia,Hibernia,,45.478019,-73.564211,,FA0006,0,[]
_Chlemagne,Faux arrêt Voie de contournement Charlemagne,,45.731546,-73.486611,,FA0020,0,[]
_RDP_Sud,Rivières-des-Prairies Sud,,45.628154,-73.583037,,FA0021,0,[]
_RDP_Nord,Rivière-des-Prairies Nord,,45.642338,-73.564132,,FA0022,0,[]
Turcot,Turcot Ouest,,45.451478,-73.633384,,FA0023,0,[]
_ST_Henri,Saint-Henri,,45.473696,-73.591113,,FA0024,0,[]
_Lachine,Canal Lachine,,45.476887,-73.581406,,FA0025,0,[]
_Bridge_N,Bridge Nord,,45.489205,-73.556482,,FA0026,0,[]
Wellington,Wellington,,45.492605,-73.555951,,FA0027,0,[]
_Paco,Paco,,45.494674,-73.556294,,FA0028,0,[]
Montreal,Montréal,,45.498368,-73.563151,,FA0029,0,[]
