from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246069724607064+1124326+0,246070324607204+1123355+0,1,
33,33,,,246068024608136+1124381+0,246068024608136+1126938+0,1,
33,33,,,246067324606736+1124416+0,246066624606736+1123919+0,1,
33,33,,,246067724606773+1124417+0,246067724606773+1123922+0,1,
33,33,,,246067024606703+1124489+0,246067024606703+1126977+0,1,
33,33,,,246070224607167+1124495+0,246070224607167+1126980+0,1,
33,33,,,246068224606932+1124552+0,246068224606922+1123373+0,1,
33,33,,,246068224606935+1124552+0,246067924608125+1123368+0,1,
33,33,,,246073124608125+1124552+0,246067924608125+1123368+0,1,
33,33,,,246070324607213+1124553+0,246070324607203+1123373+0,1,
33,33,,,246072424607241+1124557+0,246072424607241+1124122+0,1,
33,33,,,246069524606957+1124592+0,246069524606957+1127033+0,1,
33,33,,,246066624606736+1124614+0,246066624606736+1124200+0,1,
33,33,,,246068124606887+1124619+0,246068124606887+1124205+0,1,
33,33,,,246066824606721+1124638+0,246066824606711+1123388+0,1,
33,33,,,246066824606722+1124638+0,246066824606712+1123388+0,1,
33,33,,,246071024607203+1124640+0,246070324607203+1123392+0,1,
33,33,,,246072524607272+1124640+0,246072524607272+1123392+0,1,
33,33,,,246069724607063+1124641+0,246069724606993+1123392+0,1,
33,33,,,246069724607064+1124641+0,246070324607204+1123392+0,1,
33,33,,,246070324607075+1124642+0,246067924608125+1123387+0,1,
33,33,,,246066524606655+1124647+0,246066524606655+1123400+0,1,
33,33,,,246073124608113+1124652+0,246073124608113+1123405+0,1,
33,33,,,246069724607064+1124653+0,246069724606994+1123405+0,1,
33,33,,,246069724607062+1124653+0,246070324607202+1123405+0,1,
33,33,,,246066524606655+1124655+0,246066524606655+1123409+0,1,
33,33,,,246067524606791+1124657+0,246067524606751+1123413+0,1,
33,33,,,246068224606932+1124657+0,246068224606922+1123415+0,1,
33,33,,,246068224606934+1124657+0,246068224606924+1123415+0,1,
33,33,,,246072524607282+1124657+0,246072524607272+1123415+0,1,
33,33,,,246073124608123+1124657+0,246073124608113+1123415+0,1,
33,33,,,246072524607272+1124667+0,246072524607272+1123427+0,1,
33,33,,,246072524607274+1124667+0,246072524607274+1123427+0,1,
33,33,,,246073124608112+1124667+0,246073124608112+1123427+0,1,
33,33,,,246068224606932+1124679+0,246068324608113+1123445+0,1,
33,33,,,246072524607282+1124679+0,246068324608113+1123445+0,1,
33,33,,,246072524607284+1124679+0,246067924608125+1123438+0,1,
33,33,,,246073124608122+1124679+0,246068324608113+1123445+0,1,
33,33,,,246073124608124+1124679+0,246067924608125+1123438+0,1,
33,33,,,246068224606935+1124679+0,246066624606946+1124221+0,1,
33,33,,,246073124608125+1124679+0,246073624608136+1124221+0,1,
33,33,,,246070324607211+1124680+0,246068324608112+1123445+0,1,
33,33,,,246066724606677+1127056+0,246066724606747+1126893+0,1,
33,33,,,246068024608136+1127060+0,246068024608136+1126896+0,1,
33,33,,,246073024608077+1127092+0,246073024608077+1126923+0,1,
33,33,,,246072424607241+1127094+0,246072424607241+1126925+0,1,
33,33,,,246066624606666+1127153+0,246066624606736+1126958+0,1,
33,33,,,246068124606887+1127159+0,246068124606887+1126963+0,1,
33,33,,,246073024608077+1127159+0,246073024608077+1126963+0,1,
33,33,,,246068124606887+1127178+0,246068124606887+1123991+0,1,
33,33,,,246068024608136+1127197+0,246068024608136+1124053+0,1,
33,33,,,246067424606747+1127214+0,246066724606747+1127000+0,1,
33,33,,,246066724606747+1127222+0,246066724606747+1124144+0,1,
33,33,,,246073024608077+1127226+0,246073024608077+1124148+0,1,
33,33,,,246066724606677+1127239+0,246066724606677+1127036+0,1,
33,33,,,246073024608077+1127245+0,246073024608077+1127042+0,1,
33,33,,,246066824606722+1123455+0,246066824606722+1122991+1,1,
33,33,,,246069724607002+1123457+0,246069724606992+1122992+1,1,
33,33,,,246073124608121+1123457+0,246073124608111+1122992+1,1,
33,33,,,246073124608122+1123457+0,246073124608112+1122992+1,1,
33,33,,,246073124608125+1123457+0,246068624608125+1122990+1,1,
33,33,,,246066524606655+1123463+1,246066524606655+1123009+1,1,
33,33,,,246073124608114+1123466+1,246073124608124+1123009+1,1,
33,33,,,246068624608125+1123467+1,246070324607215+1123009+1,1,
33,33,,,246068224606933+1123477+1,246068224606923+1123017+1,1,
33,33,,,246070324607212+1123477+1,246070324607202+1123017+1,1,
33,33,,,246070324607215+1123477+1,246068624608125+1123015+1,1,
33,33,,,246072524607282+1123477+1,246072524607272+1123017+1,1,
33,33,,,246073124608122+1123477+1,246073124608112+1123017+1,1,
33,33,,,246073124608125+1123477+1,246068624608125+1123015+1,1,
33,33,,,246067524606794+1123477+1,246067824606784+1123025+1,1,
33,33,,,246070324607211+1123477+1,246070324607201+1123025+1,1,
33,33,,,246072524607285+1123477+1,246068624608125+1123023+1,1,
33,33,,,246068224606922+1123490+1,246068224606932+1123033+1,1,
33,33,,,246069724606992+1123490+1,246069724607002+1123033+1,1,
33,33,,,246069724606993+1123490+1,246069724607003+1123033+1,1,
33,33,,,246069724606994+1123490+1,246069724607004+1123033+1,1,
33,33,,,246070324607204+1123490+1,246070324607214+1123033+1,1,
33,33,,,246073124608112+1123490+1,246073124608122+1123033+1,1,
33,33,,,246067924608125+1123491+1,246072524607285+1123033+1,1,
33,33,,,246066824606712+1123493+1,246066824606722+1123078+1,1,
33,33,,,246067524606751+1123495+1,246067524606761+1123079+1,1,
33,33,,,246069724606992+1123497+1,246069724607002+1123077+1,1,
33,33,,,246070324607201+1123497+1,246070324607211+1123077+1,1,
33,33,,,246070324607204+1123497+1,246070324607214+1123077+1,1,
33,33,,,246067924608125+1123498+1,246072524607285+1123077+1,1,
33,33,,,246070324607203+1123527+1,246070324607203+1123104+1,1,
33,33,,,246072524607272+1123527+1,246072524607272+1123104+1,1,
33,33,,,246073124608112+1123527+1,246073124608112+1123104+1,1,
33,33,,,246073124608113+1123527+1,246073124608113+1123104+1,1,
33,33,,,246067824606795+1123541+1,246067924608125+1123111+1,1,
33,33,,,246069724607005+1123541+1,246067924608125+1123111+1,1,
33,33,,,246072524607284+1123541+1,246072524607274+1123116+1,1,
33,33,,,246070324607214+1123542+1,246069724607064+1123116+1,1,
33,33,,,246066824606711+1123549+1,246066824606711+1123119+1,1,
33,33,,,246068224606921+1123553+1,246068224606921+1123123+1,1,
33,33,,,246071024607203+1123553+1,246070324607203+1123125+1,1,
33,33,,,246072524607274+1123553+1,246072524607274+1123123+1,1,
33,33,,,246067224606725+1123564+1,246067224606725+1123146+1,1,
33,33,,,246068224606924+1123567+1,246068224606924+1123149+1,1,
33,33,,,246071024607204+1123567+1,246070324607204+1123149+1,1,
33,33,,,246069724607063+1123569+1,246070324607203+1123149+1,1,
33,33,,,246069724607064+1123569+1,246070324607204+1123149+1,1,
33,33,,,246067224606725+1123579+1,246066824606725+1123159+1,1,
33,33,,,246067824606784+1123582+1,246067824606784+1123161+1,1,
33,33,,,246071024607204+1123582+1,246071024607204+1123161+1,1,
33,33,,,246073124608111+1123582+1,246073124608111+1123161+1,1,
33,33,,,246070324607031+1123585+1,246070324607031+1123162+1,1,
33,33,,,246067524606795+1123589+0,246067924608125+1120309+0,1,
33,33,,,246066824606721+1123590+0,246066824606711+1120310+0,1,
33,33,,,246071024607201+1123592+0,246070324607201+1120314+0,1,
33,33,,,246069724607062+1123594+0,246069724606992+1120314+0,1,
33,33,,,246066524606655+1123596+0,246066524606655+1123175+0,1,
33,33,,,246068224606923+1123600+0,246068224606923+1123178+0,1,
33,33,,,246073124608112+1123600+0,246073124608112+1123178+0,1,
33,33,,,246070324607202+1123602+0,246071024607202+1123178+0,1,
33,33,,,246066824606722+1123611+0,246066824606722+1123195+0,1,
33,33,,,246066824606724+1123611+0,246066824606724+1123195+0,1,
33,33,,,246068224606935+1123612+0,246067924608125+1123194+0,1,
33,33,,,246072524607282+1123612+0,246072524607272+1123197+0,1,
33,33,,,246070324607211+1123613+0,246070324607031+1123198+0,1,
33,33,,,246067624606762+1123627+0,246067624606762+1123210+0,1,
33,33,,,246073124608112+1123628+0,246073124608112+1123211+0,1,
33,33,,,246070324607202+1123630+0,246069724607062+1123211+0,1,
33,33,,,246070324607202+1123630+0,246071024607202+1123211+0,1,
33,33,,,246068224606922+1123646+0,246068224606922+1123231+0,1,
33,33,,,246069724606992+1123646+0,246069724606992+1123231+0,1,
33,33,,,246068224606921+1123652+0,246068224606921+1123248+0,1,
33,33,,,246068224606922+1123652+0,246068224606922+1123248+0,1,
33,33,,,246070324607202+1123652+0,246070324607202+1123248+0,1,
33,33,,,246073124608114+1123652+0,246073124608114+1123248+0,1,
33,33,,,246066824606721+1123663+0,246066824606711+1123262+0,1,
33,33,,,246067624606762+1123665+0,246067624606762+1123265+0,1,
