stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,station_id_additional
2116,2116.0,Purchase St @ Pearl St,,,,42.354588,-71.053278,LocalBus,,https://www.mbta.com/stops/2116,,0,,1,Boston,Purchase Street,Pearl Street,3.0,[]
2117,2117.0,Belmont St @ St. Mary's St,,,,42.37491,-71.15267,LocalBus,,https://www.mbta.com/stops/2117,,0,,1,Cambridge,Belmont Street,Saint Mary Street,3.0,[]
21174,21174.0,Vassar St opp Pacific St Extension,,,,42.358309,-71.098379,LocalBus,,https://www.mbta.com/stops/21174,,0,,1,Cambridge,Vassar Street,Massachusetts Avenue,3.0,[]
2118,2118.0,Belmont St @ Cushing St,,,,42.374923,-71.151511,LocalBus,,https://www.mbta.com/stops/2118,,0,,1,Cambridge,Belmont Street,Cushing Street,3.0,[]
21187,21187.0,Washington St @ Iffley Rd,,,,42.312969,-71.101184,LocalBus,,https://www.mbta.com/stops/21187,,0,,1,Boston,Washington Street,Iffley Road,3.0,[]
2119,2119.0,Belmont St @ Sullivan Rd,,,,42.375167,-71.154041,LocalBus,,https://www.mbta.com/stops/2119,,0,,1,Cambridge,Belmont Street,Sullivan Road,3.0,[]
212,212.0,Summer St @ D St,,,,42.345781,-71.04118,LocalBus,,https://www.mbta.com/stops/212,,0,,1,Boston,Summer Street,D Street,3.0,[]
2121,2121.0,Belmont St @ Marlboro St,,,,42.375968,-71.157563,LocalBus,,https://www.mbta.com/stops/2121,,0,,1,Belmont,Belmont Street,Marlboro Street,3.0,[]
2122,2122.0,Belmont St @ Falmouth St,,,,42.376771,-71.16094,LocalBus,,https://www.mbta.com/stops/2122,,0,,1,Belmont,Belmont Street,Westland Road,3.0,[]
2123,2123.0,Belmont St @ School St,,,,42.37693,-71.163357,LocalBus,,https://www.mbta.com/stops/2123,,0,,1,Belmont,Belmont Street,Winsor Avenue,3.0,[]
2124,2124.0,Belmont St @ Payson Rd,,,,42.377259,-71.16635,LocalBus,,https://www.mbta.com/stops/2124,,0,,1,Belmont,Belmont Street,Payson Road,3.0,[]
21248,21248.0,Huron Ave @ Fountain Terrace,,,,42.379196,-71.150265,LocalBus,,https://www.mbta.com/stops/21248,,0,,1,Cambridge,Huron Avenue,Fountain Terrace,3.0,[]
2125,2125.0,Belmont St @ Oakley Rd,,,,42.37782,-71.169553,LocalBus,,https://www.mbta.com/stops/2125,,0,,1,Belmont,Belmont Street,Oakley Road,3.0,[]
2126,2126.0,Trapelo Rd @ Willow St,,,,42.37974,-71.17284,LocalBus,,https://www.mbta.com/stops/2126,,0,,1,Belmont,Trapelo Road,Willow Street,3.0,[]
2127,2127.0,Trapelo Rd opp Williston Rd - Cushing Square,,,,42.381068,-71.175691,LocalBus,,https://www.mbta.com/stops/2127,,0,,1,Belmont,Trapelo Road,Williston Road,3.0,[]
2128,2128.0,Trapelo Rd opp Poplar St,,,,42.381743,-71.178011,LocalBus,,https://www.mbta.com/stops/2128,,0,,1,Belmont,Trapelo Road,Poplar Street,3.0,[]
2129,2129.0,Trapelo Rd @ Slade St,,,,42.382659,-71.180186,LocalBus,,https://www.mbta.com/stops/2129,,0,,1,Belmont,Trapelo Road,Slade Street,3.0,[]
2130,2130.0,Trapelo Rd opp Walnut St,,,,42.384658,-71.182408,LocalBus,,https://www.mbta.com/stops/2130,,0,,1,Belmont,Trapelo Road,Walnut Street,3.0,[]
