"service_id","date","exception_type"
"B2AAD66A","20250625","1"
"B2AAD66A","20250626","1"
"B2AAD66A","20250627","1"
"B2AAD66A","20250701","1"
"B2AAD66A","20250702","1"
"B2AAD66A","20250703","1"
"B2AAD66A","20250708","1"
"B2AAD66A","20250709","1"
"B2AAD66A","20250710","1"
"B2AAD66A","20250711","1"
"B2AAD66A","20250715","1"
"B2AAD66A","20250716","1"
"B2AAD66A","20250717","1"
"B2AAD66A","20250718","1"
"B2AAD66A","20250722","1"
"B2AAD66A","20250723","1"
"B2AAD66A","20250724","1"
"B2AAD66A","20250725","1"
"B2AAD66A","20250729","1"
"B2AAD66A","20250730","1"
"B2AAD66A","20250731","1"
"B2AAD66A","20250801","1"
"B2AAD66A","20250805","1"
"B2AAD66A","20250806","1"
"B2AAD66A","20250807","1"
"B2AAD66A","20250808","1"
"B2AAD66A","20250812","1"
"B2AAD66A","20250813","1"
"B2AAD66A","20250814","1"
"B2AAD66A","20250815","1"
"B2AAD66A","20250819","1"
"B2AAD66A","20250820","1"
"B2AAD66A","20250821","1"
"B2AAD66A","20250822","1"
"B2AAD66A","20250826","1"
"B2AAD66A","20250827","1"
"B2AAD66A","20250828","1"
"B2AAD66A","20250829","1"
"20A455F8","20250602","1"
"20A455F8","20250603","1"
"20A455F8","20250604","1"
"20A455F8","20250605","1"
"20A455F8","20250609","1"
"20A455F8","20250610","1"
"20A455F8","20250611","1"
"20A455F8","20250612","1"
"20A455F8","20250616","1"
"20A455F8","20250617","1"
"20A455F8","20250618","1"
"20A455F8","20250619","1"
"20A455F8","20250623","1"
"20A455F8","20250624","1"
"20A455F8","20250625","1"
"20A455F8","20250626","1"
"20A455F8","20250630","1"
"20A455F8","20250701","1"
"20A455F8","20250702","1"
"20A455F8","20250707","1"
"20A455F8","20250708","1"
"20A455F8","20250709","1"
"20A455F8","20250710","1"
"20A455F8","20250714","1"
"20A455F8","20250715","1"
"20A455F8","20250716","1"
"20A455F8","20250717","1"
"20A455F8","20250721","1"
"20A455F8","20250722","1"
"20A455F8","20250723","1"
"20A455F8","20250724","1"
"20A455F8","20250728","1"
"20A455F8","20250729","1"
"20A455F8","20250730","1"
"20A455F8","20250731","1"
"20A455F8","20250804","1"
"20A455F8","20250805","1"
"20A455F8","20250806","1"
"20A455F8","20250807","1"
"20A455F8","20250811","1"
"20A455F8","20250812","1"
"20A455F8","20250813","1"
"20A455F8","20250814","1"
"20A455F8","20250818","1"
"20A455F8","20250819","1"
"20A455F8","20250820","1"
"20A455F8","20250821","1"
"20A455F8","20250825","1"
"20A455F8","20250826","1"
"20A455F8","20250827","1"
"20A455F8","20250828","1"
"1A651EB6","20250602","1"
"1A651EB6","20250603","1"
"1A651EB6","20250604","1"
"1A651EB6","20250609","1"
"1A651EB6","20250610","1"
"1A651EB6","20250611","1"
"1A651EB6","20250616","1"
"1A651EB6","20250617","1"
"1A651EB6","20250618","1"
"1A651EB6","20250623","1"
"1A651EB6","20250624","1"
"1A651EB6","20250625","1"
"1A651EB6","20250630","1"
"1A651EB6","20250701","1"
"1A651EB6","20250707","1"
"1A651EB6","20250708","1"
