from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246068624608125+1096759+1,246069724607005+1096391+1,1,
33,33,,,246066124606654+1096765+1,246066124606644+1096394+1,1,
33,33,,,246066824606791+1096766+1,246067524606791+1096395+1,1,
33,33,,,246066824606795+1096766+1,246067524606795+1096395+1,1,
33,33,,,246068224606932+1096766+1,246068224606922+1096394+1,1,
33,33,,,246072524607282+1096766+1,246072524607272+1096394+1,1,
33,33,,,246073124608124+1096766+1,246073124608114+1096394+1,1,
33,33,,,246066824606794+1096766+1,246066824606724+1096401+1,1,
33,33,,,246066824606795+1096766+1,246066824606725+1096401+1,1,
33,33,,,246069724607005+1096766+1,246068624608125+1096401+1,1,
33,33,,,246065724606574+1097324+0,246065724606574+1096646+0,1,
33,33,,,246066124606641+1097324+0,246066124606641+1096646+0,1,
33,33,,,246066124606642+1097324+0,246066124606642+1096646+0,1,
33,33,,,246066124606644+1097324+0,246066124606644+1096646+0,1,
33,33,,,246068224606921+1097324+0,246068224606921+1096646+0,1,
33,33,,,246066824606722+1097326+0,246066824606712+1096648+0,1,
33,33,,,246069724607063+1097329+0,246069724606993+1096646+0,1,
33,33,,,246069724607064+1097329+0,246069724606994+1096646+0,1,
33,33,,,246068224606923+1096773+1,246068224606933+1096409+1,1,
33,33,,,246070324607202+1096773+1,246070324607212+1096409+1,1,
33,33,,,246072524607272+1096773+1,246072524607282+1096409+1,1,
33,33,,,246073124608111+1096773+1,246073124608121+1096409+1,1,
33,33,,,246065824608125+1096774+1,246066124606655+1096409+1,1,
33,33,,,246065824608125+1096774+1,246066824606795+1096409+1,1,
33,33,,,246065824608125+1096774+1,246073124608125+1096409+1,1,
33,33,,,246067524606751+1096775+1,246066824606791+1096409+1,1,
33,33,,,246067624606762+1096776+1,246066824606792+1096409+1,1,
33,33,,,246066124606643+1096777+1,246066124606653+1096447+1,1,
33,33,,,246066124606644+1096777+1,246066124606654+1096447+1,1,
33,33,,,246067824606784+1096777+1,246067824606794+1096447+1,1,
33,33,,,246066824606712+1096779+1,246066824606722+1096448+1,1,
33,33,,,246067524606751+1096779+1,246067524606761+1096448+1,1,
33,33,,,246067924608125+1096782+1,246067824606795+1096447+1,1,
33,33,,,246067924608125+1096782+1,246069724607005+1096447+1,1,
33,33,,,246067924608125+1096782+1,246072524607285+1096447+1,1,
33,33,,,246066124606642+1096804+1,246066124606642+1096465+1,1,
33,33,,,246070324607201+1096804+1,246070324607201+1096465+1,1,
